,1. open,2. high,3. low,4. close,5. volume
2026-09-17,238.5800,243.3650,237.3500,237.7500,5905870
2026-09-16,240.5000,243.3399,235.4100,237.4900,6181838
2026-09-15,246.1900,251.8150,246.1500,248.3700,4518283
2026-09-14,249.4100,251.3700,244.1201,249.0900,6817275
2026-09-11,235.7800,243.6300,235.0000,243.2900,4919572
2026-09-10,238.1800,242.3100,231.8300,234.0200,5820269
2026-09-09,232.6500,241.5000,230.3600,239.9400,6404717
2026-09-08,232.9500,233.4000,230.2000,232.0900,4787646
2026-09-04,233.3300,236.1700,231.6800,234.8900,3722860
2026-09-03,234.3800,238.2900,232.8150,234.7100,4375426
2026-09-02,230.5450,232.8800,229.1000,231.7000,4654576
2026-09-01,231.0000,233.0900,229.9000,231.4000,3240341
2026-08-31,232.7300,235.9379,232.1800,233.8700,6101445
2026-08-28,238.3000,239.0800,235.0900,235.5900,3945403
2026-08-27,232.8000,240.8065,231.4500,238.7900,5505922
2026-08-26,230.7000,234.2300,228.9600,229.8700,4631964
2026-08-25,230.0000,234.4350,229.5100,234.1900,3023636
2026-08-24,234.3700,234.4900,230.4700,231.0400,4085030
2026-08-21,233.7100,238.7200,233.1200,235.6800,3888743
2026-08-20,236.0000,237.5000,233.0300,233.6900,4986890
2026-08-19,232.2600,238.6150,230.5100,237.1600,5342567
2026-08-18,229.7300,234.4499,229.4150,232.6700,4650116
2026-08-17,231.5900,233.6500,227.4000,228.8500,7564317
2026-08-14,238.3700,239.1500,233.7300,234.3200,4523467
2026-08-13,238.9200,239.7100,233.6100,237.1400,5395192
2026-08-12,236.9500,237.4600,231.6800,235.9800,5696182
2026-08-11,236.3100,241.8000,235.4400,238.4200,4468987
2026-08-10,235.0000,240.7350,234.1300,236.3100,7348858
2026-08-07,235.3800,237.3150,232.7200,237.2800,4763304
2026-08-06,229.6100,234.4700,228.4400,233.4300,4250062
2026-08-05,236.1000,238.9627,233.4600,235.9200,5726854
2026-08-04,224.7600,235.3100,223.3000,235.1500,7537896
2026-08-03,228.3300,228.5500,224.8700,226.3100,7974681
2026-07-31,221.1500,224.7600,216.5850,223.6500,9093613
2026-07-30,222.0000,224.8600,220.2000,221.7400,9675157
2026-07-29,227.7000,230.9700,223.9500,226.4400,8806699
2026-07-28,219.7300,228.9800,215.1101,227.5500,13262958
2026-07-27,217.7500,219.6300,215.2900,216.2800,8369433
2026-07-24,209.2800,216.1000,206.8000,214.1900,10578780
2026-07-23,202.6400,207.5500,199.1900,206.6500,15306010
2026-07-22,207.6800,212.3417,204.7300,205.7700,14606736
2026-07-21,210.7200,214.9700,209.1800,210.5000,11954411
2026-07-20,210.0700,216.2762,208.8200,213.0000,9585016
2026-07-17,215.6200,217.1699,210.2200,212.6700,13150177
2026-07-16,208.8200,219.9500,204.4400,219.0500,22533271
2026-07-15,220.9650,223.8130,211.0300,211.2000,29590356
2026-07-14,226.3650,229.9200,213.2200,217.0700,67440873
2026-07-13,290.5000,297.5000,289.1000,290.2300,5024243
2026-07-10,297.2600,298.7700,287.5000,287.5600,3640089
2026-07-09,285.8350,297.2838,284.4381,295.3000,10841979
2026-07-08,300.7700,303.8200,295.5900,302.0500,7416749
2026-07-07,305.6600,311.8000,300.4901,306.1300,8618569
2026-07-06,288.3450,300.8199,287.6500,299.5200,7181525
2026-07-02,283.1400,290.9300,282.2800,289.5200,5950158
2026-07-01,279.6600,294.4900,278.9600,286.2500,6905811
2026-06-30,273.2100,282.5694,271.1200,281.2100,7458360
2026-06-29,274.3000,278.1500,269.0600,278.0000,6464204
2026-06-26,258.9400,273.1350,258.2800,271.6300,9719927
2026-06-25,267.6700,268.7559,256.0000,258.2700,8539694
2026-06-24,261.8430,265.0700,256.1836,262.9600,8149935
2026-06-23,261.5800,267.5300,255.2600,264.9400,15686117
2026-06-22,248.4300,253.3100,243.8100,252.2200,9615393
2026-06-18,251.3800,252.4700,243.6800,249.1000,16619749
2026-06-17,266.3500,268.8700,261.8800,262.3500,5537042
2026-06-16,270.8700,276.6200,268.6100,270.8100,4917642
2026-06-15,272.0000,272.2500,264.8000,268.7100,7178779
2026-06-12,278.9400,278.9400,267.6800,272.2400,5748915
2026-06-11,268.0000,276.4799,266.5000,274.8500,7558322
2026-06-10,273.8200,280.5100,271.3300,272.3600,5497137
2026-06-09,281.1350,283.5900,271.2900,277.4900,9007918
2026-06-08,286.4400,290.5000,279.4300,280.8200,6790639
2026-06-05,300.0000,302.3000,281.0701,284.8400,12509480
2026-06-04,307.4250,310.4400,300.1800,301.7700,9608097
2026-06-03,318.2950,318.2950,302.5301,305.6300,13926558
2026-06-02,313.7500,332.4600,310.1090,329.2300,17210696
2026-06-01,322.5500,327.9800,308.0000,320.4200,32880180
2026-05-29,277.3000,300.9999,273.3300,297.8000,28480996
2026-05-28,261.0000,268.8900,257.0000,264.2200,12432879
2026-05-27,250.4550,257.6200,250.4550,255.2000,9275543
2026-05-26,254.5500,254.5500,245.4500,250.6900,9256109
2026-05-22,262.0500,264.3800,253.3900,253.8400,19072873
2026-05-21,232.5800,253.6300,230.9350,252.9700,25707791
2026-05-20,221.0500,225.0000,216.7800,225.0000,4858990
2026-05-19,224.5000,227.3500,221.9200,222.3300,5937754
2026-05-18,218.5500,223.3300,217.7500,222.7500,5946367
2026-05-15,218.2000,220.9100,217.6150,219.3000,6154450
2026-05-14,215.5450,220.9600,215.0000,218.3700,5906199
2026-05-13,218.2700,218.3100,212.3400,214.6400,8361214
2026-05-12,224.4300,224.4300,219.2200,219.2200,6045225
2026-05-11,228.6600,230.2300,222.5500,223.5500,6677186
2026-05-08,229.7300,230.7050,224.8300,229.7600,5332800
2026-05-07,227.5000,231.8200,227.4100,231.3100,5485545
2026-05-06,228.7500,229.0000,224.3800,225.7400,7673185
2026-05-05,230.1600,231.0000,227.1500,229.0300,4221889
2026-05-04,232.0000,234.0900,228.6150,229.4800,4003082
2026-05-01,234.5500,235.9500,231.7500,232.2000,3582091
2026-04-30,226.5300,231.6000,224.9000,230.9800,6283334
2026-04-29,230.3400,231.4800,226.8200,227.1000,6443724
2026-04-28,230.5000,233.5550,228.4600,233.0400,5162895
2026-04-27,229.9500,231.3200,227.1200,228.0500,8060665
